ProjectTypeStatus
"PTCustprojStatus"
"PTCommprojStatus"
"PTCapitalprojStatus"
"PTInformationStatus"
"PTCustprojStatus,PTCommprojStatus"
"PTCustprojStatus,PTCapitalprojStatus"
"PTCustprojStatus,PTInformationStatus"
"PTCommprojStatus,PTCapitalprojStatus"
"PTCommprojStatus,PTInformationStatus"
"PTCapitalprojStatus,PTInformationStatus"
"PTCustprojStatus,PTCommprojStatus,PTCapitalprojStatus"
"PTCustprojStatus,PTCommprojStatus,PTInformationStatus"
"PTCommprojStatus,PTCapitalprojStatus,PTInformationStatus"
"PTCustprojStatus,PTCommprojStatus,PTCapitalprojStatus,PTInformationStatus"
